Name,Desc,Label
intro computing python,computation problem solving writing python programs particular elements include careful development python programs specifications documentation style appropriate use control structures data types subprograms abstractions verification engineering applications,Python
introduction computing matlab,problem solving writing matlab programs particular elements include careful development matlab programs specifications documentation style appropriate use control structures data types subprograms abstractions verification engineering applications,Matlab
introduction computing java,introductory course computing java emphasis algorithm development problem solving careful methodical development java applications applets specifications documentation style appropriate use control structures classes methods data types data abstraction objectoriented programming design graphical user interface design,Java
introduction computers uses,survey basic principles computer hardware communications operating systems microcomputer issues security impact society system development use organizations handson use software including operating system commands wordprocessing spreadsheets database managers demonstration application current enduser applications may used csc major restricted elective,Chrome
programming concepts java,second course computing intended majors emphasis placed software system design testing encapsulation polymorphism composition inheritance linear data structures specification implementation finitestate machines interpretation inductive definitions functions data types resource management,Java
discrete mathematics computer scientists,propositional logic predicate calculus logic gates circuits methods proof elementary set theory Matlabl induction recursive definitions algorithms solving recurrences analysis algorithms asymptotic growth functions elementary combinatorics introduction graph theory ordered sets including posets equivalence relations introduction formal languages automata,Matlab
c software tools,details c programming compared java lexical structure syntax semantics pragmatics idioms common uses c stages compliation linking execution strings arrays structures pointers memory management c librariestools design maintenance debugging programs separate compliation modular programming integrated development environments,C
computer organization assembly language computer scientists,computer architecture topics required professional software developers including binary hexadecimal numbers hardware component organization machine instruction sets assembler language programming linking assembler language highlevel languages program testing computer hardware design issues computer software design issues trends current computer design,x86 
concepts facilities operating systems computer scientists,fundamental concepts computer operating systems computer scientists including memory management file systems process management distributed systems deadlocks basic security system accounting,x86 
web page development,syntax semantics html hypertext markup language students learn necessary skills develop web pages eosunity account addition mechanics design aspects bandwidth conservancy covered several pages created including final project,JavaScript
string processing languages,syntax semantics string manipulation language currently snobol application language programming problems nonnumeric areas discussion string processing languages perl,Python
foundations interactive game design,surveys history technology narrative ethics design interactive computer games work teams develop novel game designs computer games introduction interplay narrative technology rule systems play culture creation interactive games programming experience required enrollment restricted students least sophomore status,Java
special topics computer science,special topics csc early undergraduate level,Python
introduction numerical methods,numerical computations digital computers floating point arithmetic implications roundoff error algorithms computer techniques numerical solution problems function evaluation zeros functions interpolation numerical differentiation integration linear systems equations curve fitting solutions nonlinear equations numerical solutions ordinary differential equations,Python
data structures computer scientists,abstract data types abstract implementationlevel views data types linear branching data structures including stacks queues trees heaps hash tables graphs others discretion instructor best worst average case asymptotic time space complexity means formal analysis iterative recursive algorithms,Java
software engineering,application software engineering methods develop complex products including following skills quality assurance project management requirements analysis specifications design development testing production maintenance security privacy configuration management build systems communication teaming,C++
automata grammars computability,study three classical formal models computationfinite state machines contextfree grammars turing machinesand corresponding families formal languages power limitations model parsing nondeterminism halting problem undecidability classes p np npcompleteness,Python
applied webbased clientserver computing,course explores clientserver computing world wide web course focuses architecture webbased clientserver applications accepted industry practices students work teams develop web applications dynamic content delivery,JavaScript
ethics computing,discussion concern way computers pose new ethical questions pose new versions standard moral problems dilemmas study ethical concepts guide computer professional computer professional codes ethics use case studies relate ethical theory ethical legal use software conflicts interest,Chrome
data computer communications networks,basic concepts data communication networking computer communications architectures including packetcircuitvirtualcircuit switching layered communication architecture osi layers general description dlc network transport layers detailed protocol study ethernet atm tcpip credit allowed hrefsearchpcsc titlecscnbsp classbubblelink code onclickreturn showcoursethis csc cscnbspa hrefsearchpece titleecenbsp classbubblelink code onclickreturn showcoursethis ece ecenbspa,Bash
networking projects,series handson networking labs students gain experience practical topics network configuration troubleshooting static dynamic routing course prepares students sufficiently industry certification,Bash
introduction computer security,basic concepts techniques information security management risks vulnerabilities applied cryptography program security malicious software authentication access control operating systems security multilevel security trusted operating systems database security inference control physical security system assurance evaluation coverage highlevel concepts confidentiality integrity availability applied hardware software data,Bash
architecture parallel computers,need parallel massively parallel computers taxonomy parallel computer architecture programming models parallel architectures example parallel algorithms sharedmemory vs distributedmemory architectures correctness performance issues cache coherence memory consistency busbased scalable directorybased multiprocessors interconnectionnetwork topologies switch design brief overview advanced topics multiprocessor prefetching speculative parallel execution credit allowed one course set hrefsearchpece titleecenbsp classbubblelink code onclickreturn showcoursethis ece ecenbspa hrefsearchpece titleecenbsp classbubblelink code onclickreturn showcoursethis ece ecenbspa hrefsearchpcsc titlecscnbsp classbubblelink code onclickreturn showcoursethis csc cscnbspa,C++
introduction artificial intelligence,overview definitions artificial intelligence ai search including depthfirst breadthfirst techniques backtracking knowledge representation emphasis logical methods horn databases resolution quantification unification skolemization control issues nonmonotonic reasoning frames semantic nets ai systems including planning learning natural language expert systems ai programming language may taught instructors discretion,Python
introduction combinatorics,basic principles counting addition multiplication principles generating functions recursive methods inclusionexclusion pigeonhole principle basic concepts graph theory graphs digraphs connectedness trees additional topics frompolya theory counting ramsey theory combinatorial optimization matching covering minimum spanning trees minimum distance maximum flow sieves mobius inversion partitions gaussian numbers qanalogues bijections involutions partially ordered sets,Matlab
theory programming languages,theory programming languages emphasis programming language semantics implementation issues formal models syntax semantics static versus dynamic scoping parameter passing mechanisms garbage collection programming alternate paradigms applicative functional logic objectoriented programming languages,C++
automated learning data analysis,introduction problems techniques automated discovery knowledge databases topics include representation evaluation formalization knowledge discovery classification prediction clustering association methodsselected applications commerce security bioinformatics students cannot get credit hrefsearchpcsc titlecscnbsp classbubblelink code onclickreturn showcoursethis csc cscnbspa hrefsearchpcsc titlecscnbsp classbubblelink code onclickreturn showcoursethis csc cscnbspa,Python
introduction numerical analysis,theory practice computational procedures including approximation functions interpolating polynomials numerical differentiation integration solution ordinary differential equations including initial value boundary value problems computer applications techniques,Python
introduction numerical analysis ii,computational procedures including direct iterative solution linear nonlinear equations matrices eigenvalue calculations function approximation least squares smoothing functions minimax approximations,Python
file organization processing,hardware characteristics storage devices basic file organizations including sequential direct indexed sequential hashing collision resolution perfect hashing signatures bloom filters sorting bit level structures tree structures including binary search trees btrees trees dynamic hashing techniques structures including grid files applying file structures practical problems,C
database management systems,introduction database concepts course examines logical organization databases entityrelationship model relational data model languages functional dependencies normal forms design implementation optimization query languages security integrity concurrency control transaction processing distributed database systems,SQL
introduction data science,overview data structures data lifecycle statistical inference data management queries data cleaning data wrangling classification prediction methods include linear regression logistic regression knearest neighbors classification regression trees association analysis clustering methods emphasis analyzing data use development software tools comparing methods,Python
web services,concepts theories techniques web services course examines architectures web applications based classical publish find bind triangle considers description discovery engagement web services emphasizes web service composition key topics include semantics transactions processes agents quality service compliance,JavaScript
software wireless sensor systems,development software wireless computer systems software designs applications networking environment including algorithms ad hoc discovery routing secure data transfer software interface related sensors subsystems including global positioning system algorithms power management programming required,C
humancomputer interaction,survey concepts techniques user interface design human computer interaction emphasizes usercentered design interface development techniques usability evaluation,Chrome
social computing,course surveys field social computing introducing key concepts paradigms techniques specific topics selected following list social media social network analytics sociological underpinnings crowdsourcing surveys human computation social mobilization human decision making voting theory judgment aggregation prediction markets economic mechanisms incentives organizational modeling argumentation contracts norms mobility social context sociotechnical systems software engineering social computing course incorporates ideas diverse disciplines including sociology psychology law economics political science logic statistics philosophy business provide essential background future computer science careers industry research,Chrome
computer architecture multiprocessors,major components digital computers organization components systems begins single processor systems extends parallel systems multiprocessing topics include computer organization instruction set design cache memory pipelined processors multiprocessors recent developments pc desktop architectures also studied,C
computer graphics,principles computer graphics emphasis twodimensional aspects threedimensional raster graphics topics include graphics hardware devices lines polygons clipping lines polygons windows graphical user interface vectors projections transformations polygon fill programming projects c c,C++
advanced computer graphics projects,principles computer graphics emphasis threedimensional graphics topics include projections transformations curves surfaces color texture animation visualization global illumination techniques programming project required,C++
