software,count
BME-SC-WolfPrint-Printer WolfPrint_BW-1.0,0
BME-SW-Surfware-SurfCAM-6SP2-SS,0
BME-SW-OriginLab-Origin-9-SS,0
BME-FW-Secure Endpoints-Network ID Manager-2.5.0.106,0
BME-FW-Secure Endpoints-Network ID Manager-2.5.0.106-SS,0
BME-SW-PTC-Creo-2.0-SS,0
BME-SW-Rockwell Automation-Arena-14.7,0
BME-SW-Simulia-Abaqus-6.11,0
BME-SW-Lindo Systems-Lindo-6.1,0
BME-SW-Originlab-Origin-8.6-SS,0
BME-SW-Bentley-Microstation-V8 XM 8.09-20080211,0
BME-SW-Tecplot-Tecplot 360ex-2014R1-SS,0
BME-SW-Microsoft-Visual Studio-2017-SS,0
BME-SW-National Instruments-Labview-2014SP1-SS,0
BME-SW-Microsoft-Visual Studio-2017,0
BME-SW-Tecplot-Tecplot 360-2011-SS,0
BME-SW-Microsoft-Visual Studio-2012-SS,0
BME-SW-NAG-NAG Fortran Compiler-5.3.1,0
BME-SW-Surfware-Surfcam-2016,0
BME-SW-SlickEdit-SlickEdit-2012-SS,0
BME-SW-SlickEdit-SlickEdit Pro-2016,0
BME-SW-SlickEdit-SlickEdit Pro-2016-SS,0
BME-SW-National Instruments-LabVIEW-2011SP1-SS,0
BME-SW-PTC-ProEngineer-5-v2,0
BME-SW-IBM-ILOG CPLEX-12.4-SS,0
BME-SW-PTC-Creo-2.0 M070,0
BME-SW-PTC-Creo-3.0 M030,0
BME-SW-Ansys-Ansys-15,0
BME-SW-IBM-ILOG CPLEX-12.5.1-SS,0
BME-SW-WinEdt Team-WinEdt-5.3-20090622,0
BME-SW-Tecplot-Tecplot360ex-2015R2-SS,0
BME-SW-Slickedit-Slickedit-2014,0
BME-SW-National Instruments-Labview-2011-SS,0
BME-SW-National Instruments-Labview-2010SP1-SS,0
BME-SW-Tecplot-Tecplot 360ex-2014R2-SS,0
BME-SW-Slickedit-Slickedit-2013-SS,0
BME-SW-Tecplot-Tecplot 360-2012R1,0
BME-SW-CD adapco-Star CCM-8.02,0
BME-SW-PTC-MathCAD-15.0.0.5,0
BME-SW-MSC Software-MD Adams-2014,41
BME-SW-MSC Software-MD Adams-2012-SS,0
BME-SW-Surfware-SurfCAM-6,0
BME-SW-NAG-NAG Fortran Compiler-5.3,0
BME-SW-Ansys-Ansys-14.5-SS,0
BME-SW-OriginLab-Origin-9,2
BME-SW-CD adapco-Star CCM-10.02-SS,0
BME-SW-PTC-MathCAD Prime-3.0-SS,0
BME-SW-Lindo Systems-Lindo-6.1-SS,0
BME-SW-Surfware-Planit CLS-2014,0
BME-SW-Rockwell Automation-Arena-14.7-SS,0
BME-SW-PTC-MathCAD-15,0
BME-SW-Autodesk-Navisworks Simulate-2019,0
BME-SW-Autodesk-Navisworks Simulate-2019-SS,0
BME-SW-Autodesk-Navisworks Manage-2019,0
BME-SW-Autodesk-Navisworks Manage-2019-SS,0
BME-SW-Surfware-SurfCAM 2014-R2-SS,0
BME-SW-NAG-NAG Fortran Compiler-5.3-SS,0
BME-SW-Simulia-Abaqus-6.11-SS,0
BME-SW-Surfware-SurfCAM 2015-R1-SS,0
BME-SW-Microsoft-Visual Studio-2012,
BME-SW-Tecplot-Tecplot 360 EX-2017 R2,0
BME-SW-Bentley-GEOPAK Suite V8i-08.11.09.722,0
BME-SW-Tecplot-Tecplot 360 EX-2017 R2-SS,0
BME-SW-Ansys-Ansys-16.1-SS,0
BME-SW-CSI-SAP2000 Student-19.0.0,0
BME-SW-OPNET Technologies-OPNET-17.1,0
BME-SW-CSI-SAP2000 Student-19.0.0-SS,0
BME-SW-National Instruments-LabVIEW-2011SP1,4
BME-SW-Atmel-AVR Studio-6.0-SS,0
BME-SW-PTC-MathCAD-15.0.0.5-SS,0
BME-SW-Simio-Simio-8.139,0
BME-SW-MSC Software-MD Adams-2014-SS,0
BME-SW-IBM-ILOG CPLEX-12.5,0
BME-SW-PTC-MathCAD-14-20090722,0
BME-SW-OriginLab-Origin-2015-SS,0
BME-SW-Bentley-WaterCAD-08.11.01.32-20091113,0
BME-SW-Surfware-Surfcam Velocity-4.0-20090625,0
BME-SW-SlickEdit-SlickEdit-2012,0
BME-SW-National Instruments-Labview-2013 SP1-SS,0
BME-SW-Surfware-Surfcam-2016-SS,0
BME-SW-Lindo Systems-Lingo-13.0,0
BME-SW-OPNET Technologies-OPNET-17.1-SS,0
BME-SW-Simio-Simio-5.91.10319,0
BME-SW-Originlab-Origin-8.5.1,0
BME-SW-Bentley-Microstation V8i-8.11.09.357-SS,0
BME-SW-Bentley-Microstation-v8i,0
BME-SW-Bentley-MicroStation V8i-08.11.09.608,0
BME-SW-Slickedit-Slickedit-2015,0
BME-SW-MSC Software-MD Adams-2012,0
BME-SW-Tecplot-Tecplot 360ex-2014R2,0
BME-SW-Bentley-GEOPAK Suite V8i-08.11.09.722-SS,0
BME-SW-Originlab-Origin-8.6,0
BME-SW-Lindo Systems-Lingo-13.0-SS,0
BME-SW-PTC-MathCAD Prime-2.0,0
BME-SW-Atmel-AVR Studio-6.0,0
BME-SW-Intelligen-SuperPro Designer-7.0.0.18-20090722,0
BME-SW-Ansys-Ansys-15-SS,0
BME-SW-PTC-MathCAD-15.0.1.0,0
BME-SW-Surfware-SurfCAM-6-SS,0
BME-SW-PTC-Creo-2.0 M070-SS,0
BME-SW-Aspen Technology-aspenOne-V9-SS,0
BME-SW-Tecplot-Tecplot360ex-2015R2,0
BME-SW-Slickedit-Slickedit-2013,0
BME-SW-Rockwell-RSLogix 500-8.10.0-20090713,0
BME-SW-National Instruments-Labview-2011,
BME-SW-Tecplot-Tecplot 360 EX-2017 R1,0
BME-SW-Tecplot-Tecplot 360 EX-2017 R1-SS,0
BME-SW-Simio-Simio-10.174.16986,0
BME-SW-Simio-Simio-10.174.16986-SS,0
BME-SW-OriginLab-Origin-2015,0
BME-SW-Aspen Technology-aspenOne-V9,0
BME-SW-Tecplot-Tecplot 360-2012R1-SS,0
BME-SW-Simio-Simio-9.158.14862,0
BME-SW-Simio-Simio-9.158.14862-SS,0
BME-SW-Autodesk-Fusion 360-2017-SS,0
BME-SW-Microsoft-Visual Studio-2012 Update 3-SS,0
BME-SW-Slickedit-Slickedit-2014-SS,0
BME-SW-OriginLab-Origin-9.1SR2,0
BME-SW-Rockwell-Arena-13.90.00,0
BME-SW-Bentley-GEOPak-v8i,0
BME-SW-Originlab-Origin-8.5.1-SS,0
BME-SW-Slickedit-Slickedit-2015-SS,0
BME-SW-OPNET Technologies-OPNET-17.5,0
BME-SW-IBM-ILOG CPLEX-12.5.1,0
BME-FW-Eclipse-Eclipse-4.4.2,0
BME-SW-PTC-ProEngineer-5-SSv2,0
BME-SW-Hearne-TK Solver-4.0-20090625,0
BME-SW-CD adapco-Star CCM-12.02,0
BME-SW-National Instruments-Labview-2014SP1,10
BME-SW-Tecplot-Tecplot 360ex-2014R1,0
BME-SW-Simio-Simio-5.91.10319-SS,0
BME-SW-CD adapco-Star CCM-12.02-SS,0
BME-SW-Simio-Simio-8.139-SS,0
BME-SW-National Instruments-Labview-2013 SP1,5
BME-SW-Aspen Technology-aspenOne-V10,0
BME-SW-Aspen Technology-aspenOne-V10-SS,0
BME-SW-Surfware-SurfCAM 2015-R1,0
BME-SW-CD adapco-Star CCM-8.02-SS,0
BME-SW-Surfware-Planit CLS-2014-SS,0
BME-SW-NAG-NAG Fortran Compiler-5.3.1-SS,0
BME-SW-Ansys-Ansys-16.1,0
BME-SW-Rockwell Automation-Arena-15.0,0
BME-SW-Rockwell Automation-Arena-15.0-SS,0
BME-SW-Tecplot-Tecplot 360 EX-2018R1,0
BME-SW-Bentley-Map Enterprise V8i-08.11.09.107-SS,0
BME-SW-PTC-MathCAD-15.0.1.0-SS,0
BME-SW-Tecplot-Tecplot 360 EX-2018R1-SS,0
BME-SW-IBM-ILOG CPLEX-12.8,0
BME-SW-Bentley-Microstation V8i-8.11.09.357,0
BME-SW-IBM-ILOG CPLEX-12.8-SS,0
BME-SW-CSI-SAP2000 Student-20.0.0,0
BME-SW-PTC-Creo-3.0 M030-SS,0
BME-SW-IBM-ILOG CPLEX-12.4,0
BME-SW-OPNET Technologies-OPNET-17.5-SS,0
BME-SW-CSI-SAP2000 Student-20.0.0-SS,0
BME-SW-Bentley-Map Enterprise V8i-08.11.09.107,0
BME-SW-Microsoft-Visual Studio-2010SP1-SS,0
BME-SW-Bentley-GEOPAK V8i-08.11.07.566-SS,0
BME-SW-Microsoft-Visual Studio-2010SP1,0
BME-SW-Surfware-SurfCAM 2014-R2,0
BME-SW-PTC-MathCAD Prime-2.0-SS,0
BME-SW-PTC-Creo-2.0,0
BME-SW-Rockwell Automation-Arena-14.0,0
BME-FW-Google-Backup and Sync-3.36.6721.3394-SS,0
BME-FW-Google-Drive File Stream-25.1.63.1725-SS,0
BME-FW-Google-Drive File Stream-25.1.63.1725,0
